,Year,Month,Day,GBP->HKD
1977-01-04,1977,1,4,7.9924
1977-01-05,1977,1,5,7.9649
1977-01-06,1977,1,6,7.9407
1977-01-07,1977,1,7,7.9388
1977-01-10,1977,1,10,7.9518
1977-01-11,1977,1,11,7.9397
1977-01-12,1977,1,12,7.9816
1977-01-13,1977,1,13,7.9952
1977-01-14,1977,1,14,7.9999
1977-01-17,1977,1,17,8.0134
1977-01-18,1977,1,18,8.0209
1977-01-19,1977,1,19,8.0735
1977-01-20,1977,1,20,8.0665
1977-01-21,1977,1,21,8.0608
1977-01-24,1977,1,24,8.0745
1977-01-25,1977,1,25,8.0777
1977-01-26,1977,1,26,8.0256
1977-01-27,1977,1,27,8.0191
1977-01-28,1977,1,28,8.0023
1977-01-31,1977,1,31,8.0065
1977-02-01,1977,2,1,7.9857
1977-02-02,1977,2,2,7.9898
1977-02-03,1977,2,3,7.9805
1977-02-04,1977,2,4,7.9824
1977-02-07,1977,2,7,7.9815
1977-02-08,1977,2,8,7.9663
1977-02-09,1977,2,9,7.9738
1977-02-10,1977,2,10,7.9726
1977-02-11,1977,2,11,7.9872
1977-02-14,1977,2,14,7.9241
1977-02-15,1977,2,15,7.9253
1977-02-16,1977,2,16,7.9507
1977-02-17,1977,2,17,7.9441
1977-02-18,1977,2,18,7.9418
1977-02-21,1977,2,21,7.9432
1977-02-22,1977,2,22,7.9372
1977-02-23,1977,2,23,7.938
1977-02-24,1977,2,24,7.9306
1977-02-25,1977,2,25,7.9514
1977-02-28,1977,2,28,7.9577
1977-03-01,1977,3,1,7.9525
1977-03-02,1977,3,2,7.9564
1977-03-03,1977,3,3,7.9501
1977-03-04,1977,3,4,7.9264
1977-03-07,1977,3,7,7.9394
1977-03-08,1977,3,8,7.9464
1977-03-09,1977,3,9,7.945
1977-03-10,1977,3,10,7.9253
1977-03-11,1977,3,11,7.9372
1977-03-14,1977,3,14,7.9359
1977-03-15,1977,3,15,7.9393
1977-03-16,1977,3,16,7.942
1977-03-17,1977,3,17,7.9413
1977-03-18,1977,3,18,7.9476
1977-03-21,1977,3,21,7.9554
1977-03-22,1977,3,22,7.9612
1977-03-23,1977,3,23,7.9719
1977-03-24,1977,3,24,7.9741
1977-03-25,1977,3,25,7.9688
1977-03-28,1977,3,28,7.9903
1977-03-29,1977,3,29,7.9935
1977-03-30,1977,3,30,7.9987
1977-03-31,1977,3,31,7.9752
1977-04-01,1977,4,1,7.9768
1977-04-04,1977,4,4,7.9786
1977-04-05,1977,4,5,7.9803
1977-04-06,1977,4,6,7.9518
1977-04-07,1977,4,7,7.9447
1977-04-12,1977,4,12,7.9483
1977-04-13,1977,4,13,7.9648
